equity_curve,predicted,actual
156.79849326144407,buy,buy
155.22878307500827,buy,buy
153.67478726195802,buy,buy
152.13634850565418,buy,buy
150.61331106435503,buy,buy
149.10552075544985,buy,buy
147.61282493985047,buy,buy
146.13507250653916,buy,buy
144.67211385727097,buy,buy
143.2238008914295,buy,buy
141.789986991034,buy,buy
140.3705270058968,buy,buy
138.9652772389292,buy,buy
137.57409543159443,buy,buy
136.19684074950646,buy,buy
134.83337376817263,buy,buy
133.48355645887935,buy,buy
132.14725217471883,buy,buy
130.82432563675596,buy,buy
129.51464292033342,buy,buy
128.21807144151404,buy,buy
126.93447994365883,buy,buy
125.66373848413942,buy,buy
124.40571842118348,buy,buy
123.16029240085186,buy,buy
121.92733434414605,buy,buy
120.7067194342448,buy,buy
119.49832410386843,buy,buy
118.30202602276962,buy,buy
117.1177040853496,buy,buy
115.94523839839806,buy,buy
114.78451026895598,buy,buy
113.63540219229994,buy,buy
112.49779784004662,buy,buy
111.37158204837651,buy,buy
110.25664080637547,buy,buy
109.15286124449293,buy,buy
108.06013162311572,buy,buy
106.97834132125632,buy,buy
105.9073808253542,buy,buy
104.84714171818943,buy,buy
103.79751666790722,buy,buy
102.75839941715225,buy,buy
101.72968477231194,buy,buy
100.71126859286727,buy,buy
99.70304778085027,buy,buy
98.70492027040703,buy,buy
97.71678501746523,buy,buy
96.73854198950502,buy,buy
95.77009215543247,buy,buy
94.81133747555415,buy,buy
93.86218089165237,buy,buy
92.9225263171595,buy,buy
91.99227862743084,buy,buy
91.07134365011478,buy,buy
90.15962815561946,buy,buy
89.25703984767466,buy,buy
88.36348735398848,buy,buy
87.47888021699724,buy,buy
86.60312888470824,buy,buy
85.73614470163405,buy,buy
84.87783989981756,buy,buy
84.02812758994696,buy,buy
83.18692175255963,buy,buy
82.35413722933399,buy,buy
81.52968971446872,buy,buy
80.7134957461481,buy,buy
79.90547269809292,buy,buy
79.1055387711959,buy,buy
78.31361298524084,buy,buy
77.52961517070476,buy,buy
76.75346596064199,buy,buy
75.9850867826496,buy,buy
